builder_name:             mallard (chantier mallard)
type_name:                mallard start 7
category:                 zeiljacht
build_material:           polyester
build_year:               1978.0
asking_price_euros:       7500.0
length_over_all_meters:   7.8
width_meters:             2.65
draft_meters:             1.2
displaces_kgs:            None
ballast_kgs:              None
steering:                 tiller
engine_name:              renault
engine_build_year:        None
standing_height_meters:   1.8
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/90586/XXX
