builder_name:             None
type_name:                malo yachts malo 38
category:                 zeiljacht
build_material:           onbekend
build_year:               1993.0
asking_price_euros:       105000.0
length_over_all_meters:   11.65
width_meters:             3.37
draft_meters:             1.7
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91390/XXX
