builder_name:             marieholm boats (swe)
type_name:                marieholm 26
category:                 zeiljacht
build_material:           polyester
build_year:               1980.0
asking_price_euros:       17000.0
length_over_all_meters:   8.0
width_meters:             2.2
draft_meters:             1.25
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91498/XXX
