builder_name:             martin yachts ltd. (can)
type_name:                martin francis 65-68
category:                 zeiljacht
build_material:           aluminium
build_year:               1984.0
asking_price_euros:       240000.0
length_over_all_meters:   20.5
width_meters:             5.2
draft_meters:             2.4
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/85561/XXX
