builder_name:             halmatic
type_name:                mat 1010-2012
category:                 zeiljacht
build_material:           polyester
build_year:               2012.0
asking_price_euros:       90000.0
length_over_all_meters:   10.15
width_meters:             3.32
draft_meters:             2.2
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91703/XXX
