builder_name:             maxi yachts (swe)
type_name:                maxi 95 kajuitzeiljacht
category:                 zeiljacht
build_material:           polyester
build_year:               1979.0
asking_price_euros:       27500.0
length_over_all_meters:   9.5
width_meters:             3.05
draft_meters:             1.4
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/90226/XXX
