builder_name:             maxi yachts (swe)
type_name:                maxi 999
category:                 zeiljacht
build_material:           polyester
build_year:               1989.0
asking_price_euros:       39500.0
length_over_all_meters:   9.9
width_meters:             3.25
draft_meters:             1.7
displaces_kgs:            4200.0
ballast_kgs:              None
steering:                 tiller
engine_name:              volvo
engine_build_year:        1989.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92128/XXX
