builder_name:             moody yachts (a. h. moody & sons)
type_name:                moody 41 cc kajuitzeiljacht
category:                 zeiljacht
build_material:           polyester
build_year:               1982.0
asking_price_euros:       39000.0
length_over_all_meters:   12.5
width_meters:             3.96
draft_meters:             1.83
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              perkins
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88991/XXX
