builder_name:             najad yachts (swe)
type_name:                najad 34
category:                 zeiljacht
build_material:           polyester
build_year:               1977.0
asking_price_euros:       40000.0
length_over_all_meters:   10.45
width_meters:             3.1
draft_meters:             1.6
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89624/XXX
