builder_name:             najad yachts (swe)
type_name:                najad najad 371
category:                 zeiljacht
build_material:           polyester
build_year:               1984.0
asking_price_euros:       97000.0
length_over_all_meters:   12.0
width_meters:             3.51
draft_meters:             1.85
displaces_kgs:            12000.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94954/XXX
