builder_name:             None
type_name:                najade bootsbau gmbh najade 900
category:                 zeiljacht
build_material:           polyester
build_year:               1971.0
asking_price_euros:       33000.0
length_over_all_meters:   9.3
width_meters:             2.95
draft_meters:             1.6
displaces_kgs:            4500.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94922/XXX
