builder_name:             None
type_name:                nantucket mk 3
category:                 zeiljacht
build_material:           polyester
build_year:               1973.0
asking_price_euros:       14000.0
length_over_all_meters:   9.65
width_meters:             2.75
draft_meters:             1.3
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94073/XXX
