builder_name:             nauticat - siltala yachts
type_name:                nauticat 33
category:                 zeiljacht
build_material:           polyester
build_year:               1972.0
asking_price_euros:       148500.0
length_over_all_meters:   10.11
width_meters:             3.25
draft_meters:             1.55
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89594/XXX
