builder_name:             None
type_name:                nordia 58
category:                 zeiljacht
build_material:           aluminium
build_year:               1983.0
asking_price_euros:       350000.0
length_over_all_meters:   17.3
width_meters:             4.6
draft_meters:             2.8
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88275/XXX
