builder_name:             None
type_name:                northwind 56
category:                 zeiljacht
build_material:           polyester
build_year:               1989.0
asking_price_euros:       225000.0
length_over_all_meters:   16.62
width_meters:             5.14
draft_meters:             2.18
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88337/XXX
