builder_name:             o'day corp.
type_name:                o'day 25
category:                 zeiljacht
build_material:           polyester
build_year:               1980.0
asking_price_euros:       12500.0
length_over_all_meters:   7.6
width_meters:             2.5
draft_meters:             0.8
displaces_kgs:            1800.0
ballast_kgs:              None
steering:                 tiller
engine_name:              yanmar
engine_build_year:        1995.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92022/XXX
