builder_name:             None
type_name:                ouwens ketch 43
category:                 zeiljacht
build_material:           staal
build_year:               1976.0
asking_price_euros:       31000.0
length_over_all_meters:   12.2
width_meters:             3.6
draft_meters:             2.05
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              mercedes
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92039/XXX
