builder_name:             ovington boats ltd.
type_name:                ovington mumm 30 ovington
category:                 zeiljacht
build_material:           onbekend
build_year:               1997.0
asking_price_euros:       39900.0
length_over_all_meters:   9.43
width_meters:             3.08
draft_meters:             2.1
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93489/XXX
