builder_name:             None
type_name:                pieter beeldsnijder 55 part exchange considered!
category:                 zeiljacht
build_material:           woodcore epoxy
build_year:               2008.0
asking_price_euros:       85000.0
length_over_all_meters:   16.8
width_meters:             4.4
draft_meters:             1.9
displaces_kgs:            0.0
ballast_kgs:              None
steering:                 wheel
engine_name:              mercedes
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93672/XXX
