builder_name:             None
type_name:                polka 41
category:                 zeiljacht
build_material:           aluminium
build_year:               1984.0
asking_price_euros:       95000.0
length_over_all_meters:   12.5
width_meters:             3.7
draft_meters:             1.95
displaces_kgs:            8500.0
ballast_kgs:              None
steering:                 None
engine_name:              bukh
engine_build_year:        1984.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/90600/XXX
