builder_name:             sadler yachts
type_name:                sadler 32
category:                 zeiljacht
build_material:           polyester
build_year:               1987.0
asking_price_euros:       37500.0
length_over_all_meters:   9.75
width_meters:             3.25
draft_meters:             1.4
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92261/XXX
