builder_name:             salona yachts (ad boats ltd.)
type_name:                salona 40
category:                 zeiljacht
build_material:           polyester
build_year:               2006.0
asking_price_euros:       114950.0
length_over_all_meters:   12.19
width_meters:             4.0
draft_meters:             2.0
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        2006.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94109/XXX
