builder_name:             None
type_name:                sander 850
category:                 zeiljacht
build_material:           staal
build_year:               1976.0
asking_price_euros:       7800.0
length_over_all_meters:   8.5
width_meters:             3.24
draft_meters:             1.4
displaces_kgs:            0.0
ballast_kgs:              None
steering:                 tiller
engine_name:              bukh
engine_build_year:        1976.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/95091/XXX
