builder_name:             scanmar yachts
type_name:                scanmar 31
category:                 zeiljacht
build_material:           polyester sandwich
build_year:               1986.0
asking_price_euros:       25500.0
length_over_all_meters:   9.3
width_meters:             3.0
draft_meters:             1.7
displaces_kgs:            3760.0
ballast_kgs:              1550.0
steering:                 tiller
engine_name:              volvo
engine_build_year:        1986.0
standing_height_meters:   1.95
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88781/XXX
