builder_name:             None
type_name:                schokker vollenhove
category:                 zeiljacht
build_material:           staal
build_year:               1963.0
asking_price_euros:       34500.0
length_over_all_meters:   10.5
width_meters:             3.8
draft_meters:             0.8
displaces_kgs:            None
ballast_kgs:              None
steering:                 tiller
engine_name:              thornycroft
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94390/XXX
