builder_name:             nauticat - siltala yachts
type_name:                siltala nauticat 38
category:                 zeiljacht
build_material:           polyester
build_year:               1986.0
asking_price_euros:       75000.0
length_over_all_meters:   11.42
width_meters:             3.4
draft_meters:             1.8
displaces_kgs:            11000.0
ballast_kgs:              None
steering:                 None
engine_name:              ford
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94758/XXX
