builder_name:             nauticat - siltala yachts
type_name:                siltala yachts nauticat 40
category:                 zeiljacht
build_material:           polyester
build_year:               1986.0
asking_price_euros:       89000.0
length_over_all_meters:   11.96
width_meters:             4.0
draft_meters:             1.8
displaces_kgs:            14000.0
ballast_kgs:              None
steering:                 None
engine_name:              ford
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94903/XXX
