builder_name:             None
type_name:                sonstige class 33
category:                 zeiljacht
build_material:           polyester
build_year:               2002.0
asking_price_euros:       58000.0
length_over_all_meters:   9.9
width_meters:             3.3
draft_meters:             1.8
displaces_kgs:            3600.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92670/XXX
