builder_name:             spirit yachts (uk)
type_name:                spirit 37 37
category:                 zeiljacht
build_material:           polyester
build_year:               1997.0
asking_price_euros:       69950.0
length_over_all_meters:   11.6
width_meters:             3.66
draft_meters:             1.69
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91077/XXX
