builder_name:             nautor (swan sailboats)
type_name:                swan 45
category:                 zeiljacht
build_material:           polyester
build_year:               2003.0
asking_price_euros:       325000.0
length_over_all_meters:   13.83
width_meters:             3.91
draft_meters:             2.8
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93304/XXX
