builder_name:             sweden yachts
type_name:                sweden yachts 370
category:                 zeiljacht
build_material:           polyester
build_year:               1994.0
asking_price_euros:       95000.0
length_over_all_meters:   11.15
width_meters:             3.68
draft_meters:             1.7
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93439/XXX
