builder_name:             None
type_name:                t.s. atlantic
category:                 zeiljacht
build_material:           staal
build_year:               1871.0
asking_price_euros:       135000.0
length_over_all_meters:   21.22
width_meters:             5.06
draft_meters:             3.0
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92977/XXX
