builder_name:             contest yachts - conyplex
type_name:                tes 678 bt
category:                 zeiljacht
build_material:           polyester
build_year:               2004.0
asking_price_euros:       17500.0
length_over_all_meters:   7.27
width_meters:             2.5
draft_meters:             0.3
displaces_kgs:            1500.0
ballast_kgs:              None
steering:                 tiller
engine_name:              mercury
engine_build_year:        2005.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94616/XXX
