builder_name:             contest yachts - conyplex
type_name:                tes 720
category:                 zeiljacht
build_material:           polyester
build_year:               2007.0
asking_price_euros:       20000.0
length_over_all_meters:   7.2
width_meters:             2.5
draft_meters:             1.1
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91040/XXX
