builder_name:             sylvana yachts inc.
type_name:                van dam nordia nordia 68
category:                 zeiljacht
build_material:           aluminium
build_year:               1986.0
asking_price_euros:       409586.0
length_over_all_meters:   20.73
width_meters:             5.39
draft_meters:             2.44
displaces_kgs:            49300.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92545/XXX
