builder_name:             sylvana yachts inc.
type_name:                van dam nordia nordia dutch treat
category:                 zeiljacht
build_material:           polyester
build_year:               1961.0
asking_price_euros:       8900.0
length_over_all_meters:   7.3
width_meters:             2.25
draft_meters:             1.15
displaces_kgs:            2500.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92497/XXX
