builder_name:             sylvana yachts inc.
type_name:                van de stadt 46 beluga one-off
category:                 zeiljacht
build_material:           composiet
build_year:               2005.0
asking_price_euros:       345000.0
length_over_all_meters:   13.95
width_meters:             4.35
draft_meters:             1.6
displaces_kgs:            500.0
ballast_kgs:              3000.0
steering:                 wheel
engine_name:              yanmar
engine_build_year:        2005.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89336/XXX
