builder_name:             None
type_name:                varianta 37
category:                 zeiljacht
build_material:           polyester
build_year:               2013.0
asking_price_euros:       74500.0
length_over_all_meters:   11.35
width_meters:             3.75
draft_meters:             1.95
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94120/XXX
