builder_name:             victoire yachts (nl)
type_name:                victoire 933 victoire 933
category:                 zeiljacht
build_material:           polyester sandwich
build_year:               1994.0
asking_price_euros:       58000.0
length_over_all_meters:   9.33
width_meters:             2.45
draft_meters:             1.45
displaces_kgs:            4500.0
ballast_kgs:              1950.0
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93440/XXX
