builder_name:             vindo (ntesund varv ab)
type_name:                vind 50 sl/ms
category:                 zeiljacht
build_material:           polyester
build_year:               1974.0
asking_price_euros:       47500.0
length_over_all_meters:   10.65
width_meters:             3.15
draft_meters:             1.6
displaces_kgs:            6200.0
ballast_kgs:              None
steering:                 wheel
engine_name:              beta
engine_build_year:        2006.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93164/XXX
