builder_name:             walsteds baadevrft
type_name:                walsted walsted 51 spitzgatter
category:                 zeiljacht
build_material:           overig
build_year:               1972.0
asking_price_euros:       290000.0
length_over_all_meters:   15.24
width_meters:             4.27
draft_meters:             1.52
displaces_kgs:            41203.0
ballast_kgs:              None
steering:                 None
engine_name:              mtu
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92639/XXX
