builder_name:             wauquiez, henri (chantier)
type_name:                wauquiez centurion 37
category:                 zeiljacht
build_material:           polyester
build_year:               1997.0
asking_price_euros:       75000.0
length_over_all_meters:   11.2
width_meters:             3.45
draft_meters:             2.3
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88339/XXX
