builder_name:             wauquiez, henri (chantier)
type_name:                wauquiez wauquiez centurion 45 s
category:                 zeiljacht
build_material:           polyester
build_year:               2003.0
asking_price_euros:       177321.0
length_over_all_meters:   13.75
width_meters:             4.18
draft_meters:             2.5
displaces_kgs:            10500.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92498/XXX
