builder_name:             westerly marine construction ltd.
type_name:                westerly oceanlord 41 oceanlord 41
category:                 zeiljacht
build_material:           polyester
build_year:               1992.0
asking_price_euros:       126800.0
length_over_all_meters:   12.34
width_meters:             4.11
draft_meters:             1.68
displaces_kgs:            9470.0
ballast_kgs:              3629.0
steering:                 wheel
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   1.91
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91817/XXX
