builder_name:             contest yachts - conyplex
type_name:                x yacht 50
category:                 zeiljacht
build_material:           polyester
build_year:               2010.0
asking_price_euros:       450000.0
length_over_all_meters:   15.24
width_meters:             4.27
draft_meters:             3.0
displaces_kgs:            12400.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        2010.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94493/XXX
