builder_name:             x-yachts
type_name:                x-yacht xp33
category:                 zeiljacht
build_material:           polyester
build_year:               2013.0
asking_price_euros:       115000.0
length_over_all_meters:   9.99
width_meters:             3.21
draft_meters:             1.9
displaces_kgs:            4300.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        2013.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94496/XXX
