builder_name:             x-yachts
type_name:                x-yachts 362
category:                 zeiljacht
build_material:           polyester
build_year:               1995.0
asking_price_euros:       79000.0
length_over_all_meters:   11.0
width_meters:             3.48
draft_meters:             1.9
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92914/XXX
