builder_name:             x-yachts
type_name:                x-yachts x 482 c
category:                 zeiljacht
build_material:           polyester
build_year:               1999.0
asking_price_euros:       300000.0
length_over_all_meters:   14.5
width_meters:             4.3
draft_meters:             2.9
displaces_kgs:            15770.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmaar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92508/XXX
